ts,high,low,open,close,change,transaction,next_open
1448496000,9.58,9.12,9.12,9.5,0.38,74,9.59
1448582400,9.59,9.28,9.59,9.3,-0.2,67,9.12
1448841600,9.23,9.07,9.12,9.11,-0.19,89,9.11
1448928000,9.31,9.11,9.11,9.24,0.13,72,9.5
1449014400,9.5,9.3,9.5,9.42,0.18,121,9.42
1449100800,9.5,9.38,9.42,9.38,-0.04,84,9.37
1449187200,9.46,9.37,9.37,9.41,0.03,86,9.58
1449446400,9.58,9.34,9.58,9.39,-0.02,97,9.49
1449532800,9.52,9.39,9.49,9.41,0.02,65,9.48
1449619200,9.49,9.18,9.48,9.25,-0.16,61,9.25
1449705600,9.36,9.08,9.25,9.16,-0.09,70,9.48
1449792000,9.5,8.9,9.48,8.9,-0.26,153,8.64
1450051200,8.75,8.51,8.64,8.61,-0.29,113,8.7
1450137600,8.7,8.49,8.7,8.5,-0.11,95,8.69
1450224000,8.69,8.47,8.69,8.53,0.03,93,8.75
1450310400,8.75,8.6,8.75,8.66,0.13,72,8.68
1450396800,8.91,8.66,8.68,8.82,0.16,85,8.8
1450656000,9.19,8.66,8.8,9.15,0.33,104,9.19
1450742400,9.19,9.04,9.19,9.06,-0.09,61,9.05
1450828800,9.17,9,9.05,9.09,0.03,58,9.12
1450915200,9.12,9.01,9.12,9.01,-0.08,44,9.1
1451001600,9.14,9.05,9.1,9.07,0.06,59,9.08
1451260800,9.15,9.02,9.08,9.05,-0.02,41,8.83
1451347200,8.99,8.81,8.83,8.89,-0.16,70,8.99
1451433600,8.99,8.83,8.99,8.89,0,57,8.86
1451520000,9.16,8.86,8.86,9,0.11,71,9.14
1451865600,9.14,8.9,9.14,8.96,-0.04,76,8.61
1451952000,8.9,8.61,8.61,8.85,-0.11,38,8.95
1452038400,8.97,8.77,8.95,8.78,-0.07,45,8.78
1452124800,8.78,8.12,8.78,8.27,-0.51,86,8.27
1452211200,8.6,8.27,8.27,8.55,0.28,96,8.5
1452470400,8.54,8.4,8.5,8.4,-0.15,84,8.39
1452556800,8.41,8.22,8.39,8.22,-0.18,70,8.24
1452643200,8.46,8.2,8.24,8.2,-0.02,79,8.16
1452729600,8.16,7.6,8.16,7.67,-0.53,214,7.72
1452816000,8.09,7.68,7.72,7.68,0.01,133,7.6
1453075200,7.6,7.26,7.6,7.59,-0.09,209,7.76
1453161600,7.76,7.52,7.76,7.65,0.06,70,7.8
1453248000,7.8,7.52,7.8,7.57,-0.08,73,7.56
1453334400,7.66,7.56,7.56,7.65,0.08,45,7.68
1453420800,7.9,7.68,7.68,7.78,0.13,59,7.95
1453680000,8.24,7.95,7.95,8.2,0.42,101,8.35
1453766400,8.35,8.12,8.35,8.12,-0.08,45,8.12
1453852800,8.2,8.05,8.12,8.06,-0.06,36,8.07
1453939200,8.15,8.06,8.07,8.09,0.03,45,8.08
1454025600,8.15,8.08,8.08,8.11,0.02,28,8.2
1454112000,8.2,8.12,8.2,8.12,0.01,55,8.3
1454284800,8.3,8.13,8.3,8.18,0.06,64,8.28
1454371200,8.43,8.25,8.28,8.43,0.25,83,8.4
1454457600,8.44,8.34,8.4,8.34,-0.09,50,8.34
1455494400,8.5,8.34,8.34,8.42,0.08,59,9.19
1455580800,9.26,9.05,9.19,9.26,0.84,176,9.99
1455667200,10.1,9.58,9.99,9.58,0.32,720,9.62
1455753600,9.96,9.35,9.62,9.48,-0.1,292,9.7
1455840000,9.95,9.42,9.7,9.79,0.31,324,9.95
1456099200,9.98,9.61,9.95,9.62,-0.17,257,9.63
1456185600,9.85,9.57,9.63,9.68,0.06,158,9.63
1456272000,9.74,9.45,9.63,9.45,-0.23,150,9.48
1456358400,9.71,9.45,9.48,9.59,0.14,165,9.62
1456444800,9.7,9.52,9.62,9.52,-0.07,101,9.59
1456790400,9.68,9.58,9.59,9.6,0.08,139,9.61
1456876800,9.68,9.55,9.61,9.55,-0.05,143,9.65
1456963200,9.8,9.63,9.65,9.69,0.14,156,9.75
1457049600,9.78,9.5,9.75,9.6,-0.09,214,9.61
1457308800,9.68,9.5,9.61,9.5,-0.1,131,9.51
1457395200,10.45,9.51,9.51,10.45,0.95,907,10.35
1457481600,11.2,10.1,10.35,10.7,0.25,1698,10.8
1457568000,10.8,10.2,10.8,10.45,-0.25,530,9.55
1457654400,9.98,9.52,9.55,9.76,-0.69,918,9.78
1457913600,10,9.7,9.78,9.71,-0.05,422,9.69
1458000000,9.8,9.64,9.69,9.71,0,247,9.79
1458086400,10.4,9.75,9.79,10.25,0.54,453,10.45
1458172800,11.25,10.3,10.45,11.25,1,1701,11.7
1458259200,12.35,11.4,11.7,12.35,1.1,1697,13.55
1458518400,13.55,13.55,13.55,13.55,1.2,374,14
1458604800,14.75,12.9,14,13.6,0.05,3866,13.6
1458691200,14.1,13.15,13.6,13.5,-0.1,1383,13.6
1458777600,13.6,13.15,13.6,13.35,-0.15,406,13
1458864000,13.3,12.55,13,12.75,-0.6,585,13.1
1459123200,13.3,12.85,13.1,13.1,0.35,464,13.05
1459209600,13.2,12.45,13.05,12.5,-0.6,371,12.75
1459296000,13.75,12.75,12.75,13.3,0.8,1073,13.5
1459382400,13.55,13.25,13.5,13.55,0.25,523,13.7
1459468800,14.7,13.7,13.7,14.3,0.75,1229,14.6
1459900800,15.7,14.5,14.6,15.2,0.9,1767,15
1459987200,15,14.2,15,14.75,-0.45,1031,14.85
1460073600,15.55,14.85,14.85,15.25,0.5,1330,14.8
1460332800,15.15,13.75,14.8,13.75,-1.5,1862,13.75
1460419200,14.2,13.55,13.75,14.2,0.45,1176,14.3
1460505600,15.5,14.05,14.3,14.8,0.6,1574,14.9
1460592000,15.25,14.3,14.9,14.85,0.05,1128,14.85
1460678400,15.7,14.8,14.85,15.05,0.2,1508,15.05
1460937600,15.05,14.45,15.05,14.6,-0.45,816,14.7
1461024000,15.1,14.45,14.7,14.6,0,665,14.85
1461110400,14.85,13.5,14.85,13.85,-0.75,907,13.85
1461196800,14.25,13.6,13.85,13.75,-0.1,613,13.7
1461283200,13.9,12.4,13.7,12.45,-1.3,1433,12.4
1461542400,12.4,11.7,12.4,12.15,-0.3,824,12.2
1461628800,12.4,12.15,12.2,12.15,0,336,12.2
1461715200,12.25,11.95,12.2,12.15,0,259,12.15
1461801600,12.25,11.95,12.15,11.95,-0.2,282,11.95
1461888000,12.55,11.6,11.95,12.55,0.6,507,12.55
1462233600,13.05,12.55,12.55,12.6,0.05,853,12.7
1462320000,13.4,12.65,12.7,12.95,0.35,1081,13.05
1462406400,13.35,13,13.05,13.2,0.25,710,13.4
1462492800,13.6,13.05,13.4,13.3,0.1,810,13.3
1462752000,13.3,12.65,13.3,12.75,-0.55,565,12.75
